Date,Open,High,Low,Close
11/19/2021,"64,625.00","66,555.00","55,600.00","57,900.00"
11/12/2021,"62,910.00","69,355.00","62,385.00","64,235.00"
11/05/2021,"61,995.00","64,665.00","59,700.00","61,380.00"
10/29/2021,"61,080.00","63,865.00","57,855.00","61,149.30"
10/22/2021,"61,120.00","67,680.00","60,100.00","61,080.00"
10/15/2021,"55,330.00","63,525.00","54,370.00","62,075.00"
10/08/2021,"48,070.00","56,830.00","47,180.00","55,180.00"
10/01/2021,"43,635.00","48,705.00","40,785.00","48,390.00"
09/24/2021,"47,415.00","47,620.00","40,085.00","42,359.40"
09/17/2021,"45,240.00","48,600.00","43,310.00","47,490.00"
09/10/2021,"52,215.00","53,125.00","43,700.00","45,675.00"
09/03/2021,"49,070.00","51,260.00","46,530.00","50,710.00"
08/27/2021,"48,815.00","50,585.00","46,230.00","47,952.00"
08/20/2021,"46,905.00","49,185.00","43,900.00","48,730.00"
08/13/2021,"44,255.00","48,005.00","42,890.00","46,505.00"
08/06/2021,"41,185.00","43,430.00","37,300.00","42,970.00"
07/30/2021,"34,475.00","40,940.00","34,420.00","39,020.90"
07/23/2021,"31,760.00","32,930.00","29,215.00","32,270.00"
07/16/2021,"34,430.00","34,830.00","30,950.00","31,925.00"
07/09/2021,"34,205.00","35,145.00","32,040.00","33,455.00"
07/02/2021,"32,775.00","36,650.00","32,620.00","33,285.00"
06/25/2021,"35,555.00","35,790.00","28,800.00","33,079.40"
06/18/2021,"38,900.00","41,335.00","35,100.00","35,285.00"
06/11/2021,"36,205.00","38,460.00","30,915.00","37,325.00"
06/04/2021,"36,965.00","39,560.00","35,590.00","36,955.00"
05/28/2021,"34,280.00","40,895.00","33,720.00","36,841.40"
05/21/2021,"45,295.00","46,620.00","30,205.00","36,085.00"
05/14/2021,"58,200.00","59,900.00","46,395.00","50,190.00"
05/07/2021,"56,985.00","59,305.00","52,830.00","57,760.00"
04/30/2021,"47,440.00","56,565.00","47,440.00","56,127.50"
04/23/2021,"57,120.00","57,750.00","47,395.00","50,845.00"
04/16/2021,"60,000.00","65,520.00","59,915.00","61,980.00"
04/09/2021,"58,550.00","60,390.00","55,660.00","58,760.00"
04/01/2021,"55,360.00","60,540.00","55,110.00","59,615.00"
03/26/2021,"58,195.00","58,460.00","50,360.00","53,346.30"
03/19/2021,"58,755.00","61,255.00","53,475.00","58,975.00"
03/12/2021,"50,580.00","58,725.00","49,500.00","57,075.00"
03/05/2021,"45,500.00","53,000.00","45,150.00","49,555.00"
02/26/2021,"57,450.00","57,790.00","44,095.00","47,001.60"
02/19/2021,"48,760.00","56,580.00","47,330.00","55,530.00"
02/12/2021,"39,025.00","49,500.00","38,305.00","48,040.00"
02/05/2021,"33,315.00","39,200.00","32,530.00","38,015.00"
01/29/2021,"32,300.00","38,755.00","29,075.00","37,242.30"
01/22/2021,"36,530.00","38,155.00","28,900.00","33,580.00"
01/15/2021,"38,925.00","40,365.00","31,105.00","35,625.00"
01/08/2021,"33,405.00","42,730.00","28,440.00","39,520.00"
12/31/2020,"26,650.00","29,700.00","26,080.00","29,385.00"
12/24/2020,"23,605.00","24,210.00","21,950.00","23,196.70"
12/18/2020,"19,155.00","23,915.00","19,075.00","22,860.00"
12/11/2020,"19,205.00","19,615.00","17,575.00","18,020.00"
12/04/2020,"18,275.00","20,360.00","18,275.00","19,100.00"
11/27/2020,"18,625.00","19,605.00","16,605.00","16,627.50"
11/20/2020,"17,905.00","18,880.00","17,375.00","18,685.00"
